postal_cd,postal_suffix_cd,internet_access_ind,utilities_included_ind,deposit_amt_eur,additional_cost_amt_eur,registration_cost_amt_eur,rent_amt_eur,price_per_night_eur,airbnb_income_amt,kamernet_income_amt,airbnb_income_rank,kamernet_income_rank
1015,AD,N,N,0.000,0.000,0.000,1350.000,1400.000,252000.000,16200.000,1,122
1033,WB,Y,N,2000.000,25.000,0.000,850.000,1305.000,234900.000,10175.000,2,187
1033,WB,Y,N,0.000,0.000,0.000,775.000,1305.000,234900.000,9300.000,2,204
1033,WB,Y,N,1000.000,50.000,0.000,775.000,1305.000,234900.000,9250.000,2,205
1033,WB,Y,N,2000.000,30.000,0.000,750.000,1305.000,234900.000,8970.000,2,213
1017,AL,N,N,0.000,0.000,0.000,1550.000,579.000,104220.000,18600.000,3,96
1017,TV,N,N,0.000,175.000,0.000,2050.000,550.000,99000.000,24425.000,4,36
1033,WB,Y,N,2000.000,25.000,0.000,850.000,435.000,78300.000,10175.000,5,187
1033,WB,Y,N,2000.000,25.000,0.000,850.000,435.000,78300.000,10175.000,5,187
1033,WB,Y,N,2000.000,25.000,0.000,850.000,435.000,78300.000,10175.000,5,187
1033,WB,Y,N,0.000,0.000,0.000,775.000,435.000,78300.000,9300.000,5,204
1033,WB,Y,N,0.000,0.000,0.000,775.000,435.000,78300.000,9300.000,5,204
1033,WB,Y,N,0.000,0.000,0.000,775.000,435.000,78300.000,9300.000,5,204
1033,WB,Y,N,1000.000,50.000,0.000,775.000,435.000,78300.000,9250.000,5,205
1033,WB,Y,N,1000.000,50.000,0.000,775.000,435.000,78300.000,9250.000,5,205
1033,WB,Y,N,1000.000,50.000,0.000,775.000,435.000,78300.000,9250.000,5,205
1033,WB,Y,N,2000.000,30.000,0.000,750.000,435.000,78300.000,8970.000,5,213
1033,WB,Y,N,2000.000,30.000,0.000,750.000,435.000,78300.000,8970.000,5,213
1033,WB,Y,N,2000.000,30.000,0.000,750.000,435.000,78300.000,8970.000,5,213
1017,VV,N,N,0.000,0.000,0.000,3500.000,420.000,75600.000,42000.000,6,7
1017,VV,N,N,0.000,0.000,0.000,3500.000,420.000,75600.000,42000.000,6,7
1017,VV,N,N,0.000,0.000,0.000,3250.000,420.000,75600.000,39000.000,6,9
1072,JL,Y,N,2350.000,0.000,0.000,2350.000,400.000,72000.000,28200.000,7,23
1072,JL,Y,N,2050.000,0.000,0.000,2050.000,400.000,72000.000,24600.000,7,35
1051,GX,Y,N,3000.000,0.000,0.000,1500.000,400.000,72000.000,18000.000,7,101
1074,AN,Y,N,5000.000,175.000,0.000,2500.000,395.000,71100.000,29825.000,8,18
1017,AL,N,N,0.000,0.000,0.000,1550.000,389.000,70020.000,18600.000,9,96
1087,HW,Y,N,1800.000,0.000,0.000,1625.000,375.000,67500.000,19500.000,10,85
1053,VJ,Y,N,1550.000,0.000,0.000,1550.000,375.000,67500.000,18600.000,10,96
